"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,34239067,113874545,2,24-MAY-19,2,"M",5,5,15,"M",1,2,"N","R","",15,0
2019,34239066,113874545,1,24-MAY-19,2,"M",5,5,14,"M",1,1,"R","R","",14,0
2019,34239072,113878834,1,23-APR-19,2,"N",16,5,16,"M",1,2,"N","R","",16,0
2019,34239546,113874552,1,06-MAY-19,3,"N",23,5,30,"M",1,2,"N","","",30,0
2019,34239548,113874557,1,06-MAY-19,1,"N",23,5,32,"M",1,2,"N","","",32,0
2019,34239549,113874561,1,23-APR-19,1,"C",16,5,25,"M",1,2,"N","","",25,0
2019,34239075,113874564,1,23-APR-19,3,"N",23,5,31,"F",1,2,"R","","",31,0
2019,34239552,113874570,1,18-APR-19,2,"C",16,5,22,"M",2,2,"","","",22,0
2019,34239553,113874571,1,24-MAY-19,2,"M",5,5,14,"M",1,1,"R","R","",14,0
2019,34239554,113874571,2,24-MAY-19,2,"M",5,5,15,"M",1,2,"N","R","",15,0
2019,34239556,113874574,1,19-MAY-19,3,"C",23,5,21,"M",1,2,"R","","",21,0
2019,34239558,113874579,1,07-MAY-19,1,"N",16,5,23,"M",1,2,"N","","",23,0
2019,34239559,113874584,1,26-APR-19,2,"N",16,5,22,"M",1,1,"N","","",22,0
2019,34239560,113874584,2,26-APR-19,1,"N",16,5,21,"M",1,2,"N","","",21,0
2019,34239561,113874586,1,07-MAY-19,2,"N",51,5,15,"F",1,2,"R","R","",15,0
2019,34239562,113874589,1,28-MAY-19,2,"C",5,5,14,"M",1,1,"R","R","",14,0
2019,34239085,113874591,1,27-APR-19,1,"N",35,5,20,"F",1,2,"N","","",20,0
2019,36167056,118642135,1,19-SEP-19,2,"N",16,5,16,"M",1,2,"R","R","",16,0
2019,36167059,118642139,1,01-NOV-19,2,"N",23,5,73,"M",1,2,"N","","",73,0
2019,36167064,118642150,1,27-NOV-19,2,"C",23,5,55,"F",1,2,"R","","",55,0
2019,36173431,118642157,1,27-NOV-19,2,"C",16,5,24,"M",1,1,"R","","",24,0
2019,36178681,118640748,1,28-NOV-19,1,"C",5,5,26,"M",1,2,"R","","",26,0
2019,36167083,118642187,1,28-NOV-19,1,"C",5,5,23,"M",1,1,"R","","",23,0
2019,36167084,118642191,1,28-NOV-19,1,"C",16,5,20,"M",2,2,"R","","",20,0
2019,36167095,118642224,1,06-NOV-19,3,"N",23,5,27,"M",2,2,"R","","",27,0
2019,35688772,117122380,1,22-AUG-19,2,"C",23,5,27,"F",1,2,"R","","",27,0
2019,35688786,117122384,3,23-AUG-19,1,"C",23,5,14,"F",1,1,"R","R","",14,0
2019,35674972,117122386,1,24-AUG-19,2,"C",50,5,21,"M",1,2,"R","","",21,0
2019,35688784,117122384,1,23-AUG-19,1,"C",23,5,15,"F",3,2,"R","R","",15,0
2019,35688785,117122384,2,23-AUG-19,1,"C",23,5,15,"F",1,1,"R","R","",15,0
2019,35688792,117122390,1,24-AUG-19,1,"C",16,5,18,"M",2,2,"R","","",18,0
2019,35688794,117122391,1,05-AUG-19,1,"N",51,5,16,"M",1,2,"R","R","",16,0
2019,35674974,117122392,1,24-AUG-19,2,"C",44,5,31,"M",1,1,"R","","",31,0
2019,35674975,117122395,2,27-JUL-19,2,"N",16,5,19,"M",1,1,"N","","",19,0
2019,35688799,117122395,1,27-JUL-19,2,"N",10,5,17,"M",1,1,"N","R","",17,0
2019,35674978,117122397,1,27-JUL-19,1,"N",16,5,18,"M",1,1,"R","","",18,0
2019,35688805,117122403,1,26-AUG-19,1,"C",35,5,25,"F",1,2,"R","","",25,0
2019,35674981,117122411,1,29-JUL-19,1,"N",16,5,23,"F",1,2,"R","","",23,0
2019,35674982,117156353,1,28-AUG-19,2,"C",5,5,32,"F",2,2,"N","","",32,0
2019,35688819,117122420,1,28-AUG-19,1,"C",16,5,28,"M",1,1,"R","","",28,0
2019,35674985,117122423,1,07-AUG-19,2,"N",16,5,16,"M",1,3,"R","R","",16,0
2019,35688824,117122424,1,29-AUG-19,2,"C",23,5,56,"M",1,2,"R","","",56,0
2019,35674986,117122425,1,29-AUG-19,2,"C",16,5,24,"M",3,1,"R","","",24,0
2019,35674987,117122427,1,30-AUG-19,1,"C",16,5,30,"M",1,2,"R","","",30,0
2019,35674988,117122429,1,30-AUG-19,2,"C",27,5,22,"F",3,2,"U","","",22,0
2019,35688832,117156378,1,30-AUG-19,2,"C",16,5,27,"F",1,1,"N","","",27,0
2019,35674989,117122434,1,31-AUG-19,2,"C",51,5,22,"F",1,1,"R","","",22,0
2019,35674990,117122439,1,31-AUG-19,2,"C",21,5,37,"M",3,2,"R","","",37,0
2019,35674991,117122440,1,31-AUG-19,2,"C",23,5,47,"M",2,2,"R","","",47,0
2019,35674993,117122441,1,08-AUG-19,2,"N",16,5,16,"M",3,2,"R","R","",16,0
2019,35688835,117156390,1,08-AUG-19,2,"N",16,5,32,"F",1,1,"R","","",32,0
2019,35674995,117122445,1,08-AUG-19,3,"N",16,5,34,"F",1,2,"N","","",34,0
2019,35674996,117122446,1,08-AUG-19,3,"N",29,5,15,"M",1,2,"R","R","",15,0
2019,35674997,117122447,1,08-AUG-19,1,"N",16,5,33,"M",1,2,"N","","",33,0
2019,35675000,117122451,1,09-AUG-19,3,"N",40,5,55,"M",1,2,"N","","",55,0
2019,35688840,117156401,1,09-AUG-19,1,"N",10,5,33,"M",1,2,"R","","",33,0
2019,35688841,117156401,2,09-AUG-19,1,"N",16,5,36,"F",1,2,"N","","",36,0
2019,36683527,120106894,1,09-OCT-19,3,"C",44,5,16,"M",1,1,"R","R","",16,0
2019,36683516,120111767,1,15-SEP-19,3,"C",51,5,16,"M",1,1,"R","R","",16,0
2019,36683525,120106879,1,03-DEC-19,3,"C",51,5,32,"M",1,1,"R","","",32,0
2019,36690596,120106895,1,05-SEP-19,2,"C",35,5,14,"M",1,1,"","R","",14,0
2019,36690598,120106902,1,14-DEC-19,2,"C",51,5,25,"M",1,2,"R","","",25,0
2019,36683538,120106914,1,15-DEC-19,1,"C",51,5,42,"M",2,2,"N","","",42,0
2019,36683537,120106913,1,02-OCT-19,3,"N",16,5,51,"M",1,2,"N","","",51,0
2019,36683541,120106922,1,07-NOV-19,2,"C",23,5,17,"M",1,1,"","R","",17,0
2019,36690624,120106961,1,17-JUL-19,3,"C",45,5,53,"M",1,1,"R","","",53,0
2019,36690631,120106972,1,03-JUL-19,2,"N",44,5,78,"M",1,2,"N","","",78,0
2019,36683559,120106980,1,04-DEC-19,1,"C",35,5,27,"M",3,2,"R","","",27,0
2019,36683563,120107001,1,11-DEC-19,1,"C",5,5,20,"M",1,1,"R","","",20,0
2019,36683564,120107005,1,02-MAY-19,3,"N",27,5,39,"M",1,2,"R","","",39,0
2019,36683576,120107033,1,24-OCT-19,1,"C",51,5,13,"M",1,1,"R","R","",13,0
2019,36690660,120107038,1,11-NOV-19,1,"C",16,5,22,"M",1,1,"N","","",22,0
2019,36690546,120111689,1,01-DEC-19,2,"C",45,5,25,"F",2,2,"R","","",25,0
2019,36683499,120106805,1,01-NOV-19,3,"C",51,5,38,"M",1,1,"R","","",38,0
2019,36683507,120106822,1,02-DEC-19,2,"C",35,5,51,"M",1,1,"","","",51,0
2019,36690574,120106829,1,01-NOV-19,1,"C",16,5,43,"M",1,1,"N","","",43,0
2019,36690577,120111760,1,23-MAR-19,3,"C",27,5,38,"M",1,1,"R","","",38,0
2019,36683517,120106850,1,02-DEC-19,1,"C",51,5,28,"M",1,1,"R","","",28,0
2019,36690583,120106868,1,03-SEP-19,3,"C",51,5,72,"M",1,1,"N","","",72,0
2019,36166769,118641643,1,14-NOV-19,2,"C",44,5,48,"M",1,2,"N","","",48,0
2019,36166790,118641675,1,01-NOV-19,1,"N",28,5,23,"M",1,2,"N","","",23,0
2019,36173380,118641704,1,14-NOV-19,2,"C",51,5,12,"M",1,2,"R","H","",12,0
2019,36173391,118641756,1,16-NOV-19,2,"C",51,5,11,"F",1,2,"R","R","",11,0
2019,36166876,118641816,1,02-NOV-19,1,"N",16,5,20,"M",1,2,"R","","",20,0
2019,36166877,118641823,1,02-NOV-19,3,"N",51,5,28,"M",1,1,"N","","",28,0
2019,36166902,118641864,1,18-NOV-19,1,"C",5,5,37,"M",1,1,"R","","",37,0
2019,36166919,118641887,1,16-AUG-19,2,"N",16,5,17,"M",1,2,"R","R","",17,0
2019,36166929,118641905,1,21-NOV-19,2,"N",51,5,45,"M",2,2,"R","","",45,0
2019,36166940,118641914,1,29-JUN-19,1,"N",16,5,30,"M",1,2,"N","","",30,0
2019,36178674,118641948,1,17-AUG-19,1,"N",16,5,26,"M",1,1,"N","","",26,0
