"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,127508049,112509610,0,,,"",,,,
2019,127508054,112505958,1,5,34,"M",2,,34,0
2019,127508055,112505958,2,5,32,"F",1,,32,0
2019,127511286,112509611,0,,,"",,,,
2019,127511289,112505975,0,,,"",,,,
2019,127508087,112505989,1,5,14,"M",1,,14,0
2019,127508091,112509622,1,5,29,"M",1,,29,0
2019,127508112,112509631,1,5,51,"F",1,,51,0
2019,127511312,112506013,1,5,33,"M",1,,33,0
2019,127511319,112509634,0,,,"",,,,
2019,127508128,112506026,1,5,16,"M",1,,16,0
2019,127508140,112509642,0,,,"",,,,
2019,127511329,112506036,0,,,"",,,,
2019,127511337,112506056,0,,,"",,,,
2019,127511340,112509649,0,,,"",,,,
2019,127515231,112513640,1,5,29,"F",1,,29,0
2019,127511842,112510126,1,5,30,"M",1,,30,0
2019,127511843,112510127,0,,,"",,,,
2019,127511845,112510128,0,,,"",,,,
2019,127515579,112513936,1,5,73,"M",0,,73,0
2019,127515582,112510130,1,5,27,"M",1,,27,0
2019,127511848,112510131,1,5,17,"M",1,,17,0
2019,127511849,112510132,0,,,"",,,,
2019,127515587,112510133,0,,,"",,,,
2019,127515588,112510134,0,,,"",,,,
2019,127511850,112510135,1,5,51,"M",1,,51,0
2019,127515591,112510136,2,5,22,"M",1,,22,0
2019,127515590,112510136,1,5,21,"F",1,,21,0
2019,127511851,112510137,1,5,29,"M",1,,29,0
2019,127511852,112510138,0,,,"",,,,
2019,127511853,112510139,0,,,"",,,,
2019,127511854,112510140,0,,,"",,,,
2019,127511855,112510141,1,5,33,"F",1,,33,0
2019,127511856,112510142,2,5,15,"F",1,,15,0
2019,127511858,112510143,1,5,42,"M",0,,42,0
2019,127511859,112510144,1,5,59,"M",1,,59,0
2019,127511861,112510145,1,5,17,"M",1,,17,0
2019,127511862,112510146,0,,,"",,,,
2019,127515600,112513952,0,,,"",,,,
2019,127511865,112510148,1,5,24,"F",1,,24,0
2019,127511866,112510150,1,5,34,"M",3,,34,0
2019,127515604,112510151,0,,,"",,,,
2019,127511867,112510152,0,,,"",,,,
2019,127511868,112510153,0,,,"",,,,
2019,127508654,112510154,0,,,"",,,,
2019,127508656,112510157,1,5,32,"F",1,,32,0
2019,127511873,112510158,0,,,"",,,,
2019,127511874,112510159,1,5,47,"M",1,,47,0
2019,127511875,112510160,0,,,"",,,,
2019,127511877,112513968,1,5,33,"M",1,,33,0
2019,127508664,112510162,1,5,46,"M",1,,46,0
2019,127511879,112510164,1,5,29,"M",2,,29,0
2019,127511880,112510165,1,5,59,"M",4,,59,0
2019,127511884,112510167,1,5,37,"F",1,,37,0
2019,127508673,112516511,1,5,46,"F",2,,46,0
2019,127515619,112510169,1,5,19,"M",1,,19,0
2019,127511887,112510170,1,5,29,"M",1,,29,0
2019,127511888,112510171,0,,,"",,,,
2019,127511889,112510172,1,5,24,"F",2,,19,29
2019,127511890,112510172,2,4,,"M",1,,,
2019,127508681,112516517,0,,,"",,,,
2019,127511891,112510173,0,,,"",,,,
2019,127511892,112510174,0,,,"",,,,
2019,127511893,112510175,1,5,32,"F",1,,32,0
2019,127511894,112510176,1,5,38,"M",1,,38,0
2019,127511895,112510177,0,,,"",,,,
2019,127511896,112510178,1,5,39,"M",1,,39,0
2019,127511897,112510179,1,5,28,"M",3,,28,0
2019,127511898,112510180,0,,,"",,,,
2019,127511899,112510181,1,5,33,"F",1,,33,0
2019,127515634,112510182,0,,,"",,,,
2019,127515635,112510183,1,4,,"M",0,,,
