"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,122829173,61,800,,135968173
2019,122849930,3,1500,,135975698
2019,122849934,61,800,,135968219
2019,122829275,11,1,,135968273
2019,122829281,61,190,,135968279
2019,122829281,58,720,,135968278
2019,122829306,51,0,,135968319
2019,122829317,3,400,,135968332
2019,122829323,54,150,,135968337
2019,122850027,63,320,,135975821
2019,122850027,16,1000,,135975820
2019,122829336,54,300,,135968356
2019,122829343,61,1000,,135968363
2019,122829363,11,2,,135968385
2019,122829366,3,2000,,135968388
2019,122829377,61,1300,,135968400
2019,122850087,3,500,,135975894
2019,122829383,4,1200,,135968405
2019,122829405,11,1,,135968434
2019,122829405,10,,,135975941
2019,122850079,10,,,135975885
2019,122850079,11,3,,135975886
2019,122829403,67,1,,135968432
2019,122850129,63,500,,135975943
2019,122850139,63,1000,,135975953
2019,122829447,20,800,,135968490
2019,122829456,20,100,,135968503
2019,122855535,42,200,,135969843
2019,122851014,17,500,,135977083
2019,122851014,63,600,,135977084
2019,122855553,10,,,135977101
2019,122855568,11,1,,135969886
2019,122855568,10,,,135969884
2019,122855574,25,60,18-APR-19,135969897
2019,122855578,25,60,,135969901
2019,122855578,63,180,,135969902
2019,122855574,63,180,18-APR-19,135969899
2019,122856413,20,26,,135971002
2019,122856412,63,26,19-NOV-19,135971001
2019,122856413,63,26,,135971003
2019,122856416,10,,,135971010
2019,122856420,19,14,19-NOV-19,135971016
2019,122856421,19,14,,135971017
2019,122852120,11,1,,135971019
2019,122852120,10,,,135971018
2019,122856422,20,1200,,135978567
2019,122852122,22,0,,135978566
2019,122852124,67,1,,135978570
2019,122856425,63,325,15-DEC-19,135971021
2019,122856426,63,325,,135971023
2019,122856426,26,60,,135971022
2019,122856425,26,60,15-DEC-19,135971020
2019,122856428,10,,,135971028
2019,122856430,63,109,15-DEC-19,135971034
2019,122856430,6,107,15-DEC-19,135971032
2019,122856432,19,105,,135971037
2019,122856430,19,65,15-DEC-19,135971033
2019,122856432,6,107,,135971036
2019,122856432,63,109,,135971038
2019,122856438,25,8,,135971049
2019,122856438,63,88,,135971051
2019,122856438,17,72,,135971048
2019,122856435,17,72,15-DEC-19,135971044
2019,122856435,63,88,15-DEC-19,135971046
2019,122856435,25,8,15-DEC-19,135971045
2019,122856437,63,20,,135971050
2019,122856436,11,1,,135971047
2019,122829198,11,1,,135968199
2019,122849901,3,2000,01-AUG-19,135975662
2019,122849902,3,2000,,135975664
2019,122829213,35,1,,135968209
2019,122829248,11,1,,135968244
2019,122829248,10,,,135968243
2019,122829257,38,700,,135968257
2019,122829264,11,1,,135968265
2019,122829264,10,,,135968264
2019,122829269,51,0,,135968269
2019,122829279,10,,,135975759
2019,122829287,11,2,,135968285
2019,122829287,10,,,135975767
2019,122829290,33,250,,135968293
2019,122829295,11,10,,135968306
2019,122850007,3,6000,,135968330
2019,122850007,63,75,,135968331
2019,122829321,36,2137,,135968335
2019,122850024,63,999,,135975816
2019,122850026,11,10,,135975819
2019,122850026,10,,,135975818
2019,122829335,20,1650,,135968355
2019,122829348,33,20,,135968370
2019,122829349,2,10,,135968371
2019,122829352,20,100,,135968374
2019,122829352,63,11049,,135968375
2019,122850066,3,1,04-MAY-19,135975872
2019,122850067,3,1,,135975873
2019,122829375,26,5,19-NOV-19,135968395
2019,122829376,10,26,,135968397
2019,122829375,63,4,19-NOV-19,135968396
2019,122829375,10,26,19-NOV-19,135968394
2019,122829376,63,4,,135968399
2019,122829376,26,5,,135968398
2019,122829382,11,1,,135968404
2019,122829386,3,1,,135968409
2019,122850101,25,10,,135968410
2019,122850101,9,0,,135975907
2019,122850101,63,10,,135975910
2019,122829411,63,25,,135968442
2019,122829411,3,150,,135968443
2019,122829413,3,5000,,135968446
2019,122829410,11,30,,135968440
2019,122850133,63,72,,135968444
2019,122850128,63,72,02-APR-19,135968438
2019,122829410,10,,,135975944
2019,122829424,8,11,,135968461
2019,122850160,20,873,,135968482
2019,122829449,10,,,135968492
2019,122850178,63,650,,135976002
2019,122850178,17,1050,,135976001
2019,122850177,63,1,,135975999
2019,122850178,13,2303,,135976000
2019,122829499,63,20,,135968553
2019,122850214,63,1,,135968562
2019,122850217,36,1,,135976045
2019,122829536,3,1700,,135968616
2019,122850277,3,600,,135968644
2019,122850277,2,12,,135968643
2019,122829563,35,200,,135968650
2019,122854592,63,100,,135968685
2019,122850313,63,1,,135976163
2019,122850313,36,150,,135976162
2019,122854605,63,100,,135968706
2019,122850329,38,200,,135968708
2019,122854613,38,100,,135976183
2019,122854621,3,4821,,135976195
2019,122854651,63,225,,135976219
2019,122854660,61,160,,135976230
2019,122850405,52,0,,135976253
2019,122850410,10,,,135968838
2019,122850410,11,10,,135976257
2019,122850412,63,100,,135976261
2019,122854697,26,33,,135968857
2019,122854700,3,2000,,135968859
2019,122850440,11,10,,135976298
2019,122854726,63,1,,135968886
2019,122854727,63,1,,135976305
2019,122850447,61,7,,135976309
2019,122850447,19,1,,135968889
2019,122854745,38,1,,135968907
2019,122854766,9,0,,135968935
2019,122850488,10,,,135976363
2019,122850488,11,70,,135976365
2019,122854779,21,100,,135968957
2019,122850505,63,500,,135976375
2019,122850507,8,5,,135976377
2019,122850506,8,5,10-JAN-19,135968967
2019,122854816,21,8,,135969003
2019,122854827,2,9,02-DEC-19,135969015
2019,122850526,8,204,,135969020
2019,122850526,2,9,,135969017
2019,122854827,8,204,02-DEC-19,135969016
2019,122854840,20,1200,,135969033
2019,122854845,63,52,02-DEC-19,135976419
2019,122850537,63,52,,135976421
2019,122850573,63,10,,135976467
2019,122850573,7,10,,135969079
2019,122850573,26,100,,135976465
2019,122850595,11,1,,135976495
2019,122850595,10,,,135976494
2019,122854932,3,22521,,135976531
2019,122854957,20,86,,135969157
2019,122854998,63,500,,135969214
2019,122850654,4,80,,135976576
2019,122850654,63,6,,135976577
2019,122855007,11,1,,135976586
2019,122850673,26,300,,135976602
2019,122850673,36,1200,,135976604
2019,122850673,63,300,,135976605
2019,122850673,25,60,,135969251
2019,122855030,47,0,,135969263
2019,122855030,20,3684,,135976611
2019,122855030,9,0,,135969259
2019,122855030,25,50,,135969261
2019,122855058,11,1,,135969287
2019,122850695,20,460,,135976630
2019,122855088,3,1000,,135969317
2019,122855087,3,1000,14-JUN-19,135969316
2019,122855115,9,0,,135969351
2019,122855115,51,0,,135969355
2019,122855115,25,869,,135969353
2019,122855165,61,1100,,135969412
2019,122855164,61,1100,13-DEC-19,135969411
2019,122855181,63,1,12-MAR-19,135969431
2019,122855182,63,1,,135969432
2019,122855199,63,330,,135969452
2019,122850759,35,2000,,135976717
2019,122855222,2,19,,135969481
2019,122850764,4,1,15-FEB-19,135976727
2019,122855237,4,1,,135969495
2019,122855245,7,700,,135969508
2019,122855243,63,0,,135969506
2019,122855251,38,165,,135969512
2019,122855250,38,165,16-AUG-19,135976743
2019,122855279,63,900,,135976770
2019,122855297,3,500,,135969554
2019,122855303,63,20,,135969557
2019,122855304,4,300,,135976783
2019,122855315,10,,,135969569
2019,122855415,10,,,135976901
2019,122850690,10,,,135976624
2019,122855066,3,1500,,135976633
2019,122855065,3,1500,04-SEP-19,135969295
2019,122850698,63,100,,135976636
2019,122850702,3,50,,135976641
2019,122855082,64,1,11-MAR-19,135969311
2019,122855086,63,200,,135969315
2019,122855089,11,2,,135969320
2019,122855094,38,150,,135976650
2019,122855094,3,250,,135976649
2019,122855094,63,20,,135969324
2019,122855102,8,5,,135969336
2019,122855101,6,13,05-AUG-19,135976656
2019,122855102,6,13,,135969335
2019,122855101,8,5,05-AUG-19,135969334
2019,122850717,11,2,,135969342
2019,122855116,3,900,,135969356
2019,122850722,12,850,,135976666
2019,122855123,16,100,,135976667
2019,122850724,38,1000,,135976670
2019,122850725,10,,,135969382
2019,122855141,63,400,,135969388
2019,122850728,63,200,,135976676
2019,122855145,61,500,,135976678
2019,122855162,47,0,,135969409
2019,122855170,13,600,,135969418
2019,122855179,11,1,,135969429
2019,122855187,10,,,135976696
2019,122855187,11,20,,135976697
2019,122855190,63,150,,135976698
2019,122855209,63,4000,,135969465
2019,122855210,8,1,,135969466
2019,122855217,16,100,,135976721
2019,122850766,3,500,,135969502
2019,122850766,63,35,,135969503
2019,122855241,3,1000,,135969505
2019,122855247,11,10,,135976735
2019,122855263,16,5,,135976751
2019,122850778,11,11,,135976758
2019,122850778,10,,,135976756
2019,122855274,42,250,,135976768
2019,122855285,63,75,,135969543
2019,122855284,63,75,15-APR-19,135969541
2019,122855287,20,2760,,135969545
2019,122855293,11,2,,135976773
2019,122855299,19,1500,,135976778
2019,122850791,63,500,,135976785
2019,122850792,63,180,,135976788
2019,122850792,17,570,,135976784
2019,122850792,3,38596,,135969560
2019,122850792,36,2950,,135976786
2019,122855309,63,25,,135969562
2019,122855312,63,300,,135969565
2019,122850798,63,400,,135969574
2019,122855325,20,150,,135969582
2019,122855329,36,49,,135976801
2019,122855340,31,100,,135969597
2019,122855343,63,140,,135969602
2019,122855353,10,,,135976835
2019,122855353,11,20,,135976836
2019,122855367,10,,,135976851
2019,122855389,4,100,,135976876
2019,122850856,37,1000,,135969655
2019,122855406,10,,,135969683
2019,122855406,11,2,,135969681
2019,122850881,10,,,135969697
2019,122850881,11,10,,135976903
2019,122855419,3,3000,,135976904
2019,122850885,17,4092,,135976913
2019,122850890,11,1,,135976917
2019,122850904,30,1,,135969720
2019,122855485,36,6330,21-NOV-19,135976975
2019,122855485,16,200,21-NOV-19,135969775
2019,122855489,13,150,,135969780
2019,122855489,60,250,,135976982
2019,122855489,16,200,,135976981
2019,122855489,36,7110,,135976984
2019,122850955,20,22000,,135969796
2019,122850955,63,1,,135976996
2019,122850969,8,3,,135969811
2019,122851002,20,906,,135977060
2019,122855537,20,906,06-SEP-19,135977058
2019,122851013,20,2300,,135969857
2019,122855549,3,20000,02-SEP-19,135977089
2019,122855597,63,50,,135969927
2019,122855610,11,1,,135977152
2019,122851064,8,34,,135977156
2019,122855616,8,34,08-AUG-19,135969953
2019,122855617,10,,,135977159
2019,122851092,25,45,,135977193
2019,122851092,21,30,,135977192
2019,122851096,36,300,,135969982
2019,122855640,63,20,,135977199
2019,122856908,17,4,,135971612
2019,122856908,6,23,,135971611
2019,122856911,20,1557,,135971618
2019,122852445,22,0,,135979050
2019,122852444,16,40,27-OCT-19,135979049
2019,122856910,16,40,,135979051
2019,122856907,11,1,,135971610
2019,122856908,26,69,,135971613
2019,122856905,26,69,26-DEC-19,135971608
2019,122856909,63,56,,135971617
2019,122856909,25,75,,135971616
2019,122856909,20,8,,135971615
2019,122856909,9,0,,135971614
2019,122856916,3,250,,135971623
2019,122856916,63,200,,135971625
2019,122856914,20,8,,135971622
2019,122856914,63,170,,135971624
2019,122856914,6,10,,135971621
2019,122856915,3,550,,135971626
2019,122852448,35,20,,135979055
2019,122856919,29,100,,135971630
2019,122856920,11,1,,135971631
2019,122852451,13,1100,,135979058
2019,122852451,26,250,,135971635
2019,122852450,63,20,,135979056
2019,122852451,7,300,,135979057
2019,122852451,63,740,,135979059
2019,122852451,36,1120,,135971636
2019,122852451,16,250,,135971634
2019,122856922,63,50,,135971637
2019,122856923,63,35,30-AUG-19,135971638
2019,122856924,63,35,,135971639
2019,122856926,63,50,,135971641
2019,122856928,11,1,,135971643
2019,122856927,3,10000,,135971642
2019,122856930,63,200,,135971645
2019,122856934,3,3000,,135971649
2019,122856935,10,,,135971650
2019,122856938,16,30,,135971653
2019,122852460,11,1,,135979074
2019,122856938,63,8,,135979077
