"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,5,117796497,9.5,1,11841900
2019,12,117796574,4,1,11841904
2019,12,117803049,2,9,11846104
2019,12,117802825,0.2,1,11846055
2019,2,117802835,1,9,11846058
2019,5,117802837,2,9,11846059
2019,4,117802840,1,9,11846060
2019,5,117802843,4,9,11846061
2019,5,117802863,9,9,11846064
2019,5,117802890,4,9,11846072
2019,5,117802893,1,9,11846075
2019,5,117802905,1,9,11846078
2019,5,117802914,1,1,11846079
2019,8,117802962,1,9,11846082
2019,5,117802967,1,9,11846083
2019,16,117802969,4,9,11846084
2019,5,117802972,5,9,11846086
2019,16,117802972,131,9,11846088
2019,11,117802972,1,9,11846087
2019,9,117802989,5,9,11846095
2019,5,117803006,1,9,11846096
2019,12,115743412,0.5,1,11296687
2019,4,115743412,1,9,11296686
2019,12,115743766,8,1,11289747
2019,12,115738361,7,9,11289751
2019,5,115744315,1,9,11285782
2019,5,115738387,1,1,11296775
2019,2,115738387,1,9,11289753
2019,12,115738387,1,9,11285785
2019,5,115738431,1,1,11296782
2019,2,115743881,1,9,11289762
2019,5,115743881,1,9,11285799
2019,16,117802412,1,1,11845993
2019,5,117802427,1,9,11845996
2019,17,117802427,1,9,11845998
2019,17,117802513,1,9,11846009
2019,8,117802427,222,9,11845997
2019,5,117802521,0.3,1,11846010
2019,5,117802525,2,1,11846011
2019,5,117807102,32,1,11848143
2019,12,117802565,0.3,1,11846019
2019,8,117802578,1,9,11846020
2019,5,117807138,1,1,11848149
2019,12,117802584,1,9,11846025
2019,5,117802585,7.92,1,11846026
2019,17,117802585,10.97,1,11846027
2019,11,117802592,1,9,11846029
2019,4,117802592,1,9,11846028
2019,5,117802609,1,9,11846031
2019,5,117802615,4.48,1,11846032
2019,16,117802623,17,9,11846033
2019,5,117802651,2.39,1,11846034
2019,12,117802651,0.58,1,11846035
2019,8,117807227,50,9,11848158
2019,17,117802691,0.59,1,11846036
2019,4,117802700,1,9,11846037
2019,12,117802700,1,9,11846038
2019,15,117802700,14,9,11846039
2019,8,117802724,1,9,11846041
2019,5,117807293,1,9,11848164
2019,8,117807297,2,9,11848167
2019,5,117802734,1,9,11846042
2019,12,117802742,1,9,11846043
2019,12,117802743,1,9,11846044
2019,5,117802752,1,9,11846045
2019,5,117802759,1,9,11846046
2019,5,117802766,1,9,11846047
2019,16,117802767,1,9,11846049
2019,2,117802767,1,9,11846048
2019,5,117802769,1,9,11846050
2019,8,117802782,2,9,11846051
2019,8,120932407,19,9,12937110
2019,5,121579718,10.6,1,13108265
2019,12,121579718,0.2,1,13119135
2019,12,121579732,1,11,13119137
2019,12,121578294,1,1,13114023
2019,12,121584733,3,9,13108364
2019,17,121584733,4.5,9,13108365
2019,15,121584733,1,9,13119180
2019,17,121584745,1,9,13108373
2019,4,121584783,1,9,13108385
2019,12,121584812,9.5,9,13108390
2019,12,121584923,0.48,1,13114032
2019,16,121578347,1,9,13108420
2019,8,121578347,1,9,13108419
2019,5,121585035,1.2,1,13108438
2019,5,121585122,1,9,13108447
2019,8,120936382,1,9,12947608
2019,12,120936382,2,1,12947609
2019,5,120936382,1,1,12947607
2019,5,120936388,1,9,12947611
2019,4,120936351,1,9,12947595
2019,5,121578134,0.9,1,13114002
2019,5,121578145,2,1,13114003
2019,5,121578178,11.5,1,13114004
2019,12,121579866,1,9,13119153
2019,12,121579882,0.7,1,13119155
2019,5,120928141,1,11,12937083
2019,12,120936201,2.3,1,12947570
2019,8,120936219,0.7,1,12947572
2019,5,120936219,11.5,9,12947571
2019,5,121578298,2.67,1,13114024
2019,5,121578304,1,9,13114026
2019,8,121578304,1,9,13114027
2019,12,121584807,1,1,13108388
2019,8,121584823,1,9,13108394
2019,12,121578327,1,9,13108409
2019,5,121578338,1,3,13108413
2019,5,121585070,7.97,1,13108441
2019,17,121585070,1,9,13108442
2019,12,121578398,3,1,13114039
2019,5,121578407,1,1,13119193
2019,12,121578411,1,9,13114042
2019,4,121578411,1,9,13114041
2019,8,121585198,1,9,13108465
2019,5,121578460,1,9,13114047
2019,8,121578492,1,9,13119214
2019,8,121578499,92,9,13108469
2019,12,121578500,0.64,1,13114051
2019,8,121578511,1,9,13114052
2019,4,121578513,2.14,1,13114053
2019,12,121578513,12.98,1,13114054
2019,12,121585273,1.5,1,13108471
2019,5,120932279,2,1,12937091
2019,5,120936242,2.3,1,12947573
2019,5,120936277,5.2,1,12947580
2019,7,120936279,192.5,9,12947582
2019,17,119234796,1,9,12382492
2019,12,119234764,7,1,12382489
2019,5,119234784,1.6,1,12382490
2019,17,119234932,1,9,12364736
2019,8,119234953,2,9,12382521
2019,5,120318679,1,9,12800208
2019,18,120318679,,,12800210
2019,8,120318679,57,9,12800209
2019,5,120318850,1,9,12800252
2019,16,120318873,1,9,12800261
