"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,123908051,112403198,1,4,,,,5,32,"M",1,1,"",32,0
2019,123904682,112403205,1,4,,,,5,82,"M",1,2,"R",82,0
2019,123904683,112403206,1,1,,,,,,"",,,"",,
2019,123908070,112403215,1,5,7,1,,4,,"M",0,3,"",,
2019,123904697,112403217,1,8,,,,,,"",,,"",,
2019,123904709,112403232,1,1,,,,,,"",,,"",,
2019,123908112,112400830,1,4,,,,5,43,"M",1,2,"R",43,0
2019,123908117,112400836,1,8,,,,,,"",,,"",,
2019,123904742,112403271,1,8,,,,,,"",,,"",,
2019,124026380,112516375,1,4,,,,5,28,"M",1,2,"R",28,0
2019,124033411,112513832,1,1,,,,,,"",,,"",,
2019,124026381,112516376,1,1,,,,,,"",,,"",,
2019,124026382,112516377,2,1,,,,,,"",,,"",,
2019,124026383,112516377,1,8,,,,,,"",,,"",,
2019,124026384,112516378,1,8,,,,,,"",,,"",,
2019,124026386,112516380,1,4,,,,5,13,"M",1,1,"R",13,0
2019,124026387,112516381,1,4,,,,5,19,"F",1,2,"",19,0
2019,124026388,112516382,1,4,,,,5,26,"M",1,1,"R",26,0
2019,124026389,112516383,1,1,,,,,,"",,,"",,
2019,124026390,112516384,1,1,,,,,,"",,,"",,
2019,124026391,112516385,1,1,,,,,,"",,,"",,
2019,124026393,112516387,1,8,,,,,,"",,,"",,
2019,124033426,112513846,1,4,,,,5,26,"F",1,2,"R",26,0
2019,124026395,112516389,1,1,,,,,,"",,,"",,
2019,124026398,112516391,1,1,,,,,,"",,,"",,
2019,124026399,112516392,1,4,,,,5,18,"M",1,1,"R",18,0
2019,124026400,112516393,1,4,,,,5,73,"M",1,2,"R",73,0
2019,124026402,112516395,1,4,,,,5,13,"F",1,1,"R",13,0
2019,124026403,112516396,1,8,,,,,,"",,,"",,
2019,124026404,112516397,1,4,,,,5,18,"F",1,1,"R",18,0
2019,124026405,112516398,1,8,,,,,,"",,,"",,
2019,124026406,112516399,1,4,,,,5,36,"F",1,1,"R",36,0
2019,124026407,112516400,1,4,,,,5,27,"M",2,2,"R",27,0
2019,124026408,112516401,1,8,,,,,,"",,,"",,
2019,124026409,112516402,1,8,,,,,,"",,,"",,
2019,124026410,112516403,1,4,,,,5,74,"M",1,2,"R",74,0
2019,124026411,112516404,1,4,,,,5,4,"F",1,1,"N",4,0
2019,124033446,112513867,1,8,,,,,,"",,,"",,
2019,124026412,112516405,1,4,,,,5,40,"F",2,2,"R",40,0
