"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2019,129146685,133945521,2,40399259
2019,129151479,133940166,21,40401989
2019,129146847,133945690,1,40399334
2019,129151761,133945784,24,40402104
2019,129151761,133945783,24,40402103
2019,129151763,133940407,27,40402105
2019,129151784,133940429,17,40402108
2019,129146944,133945805,24,40399356
2019,129151817,133945815,3,40402113
2019,129151825,133945826,24,40402114
2019,129146963,133945833,3,40399358
2019,129146972,133940477,21,40399359
2019,129146983,133945850,24,40399362
2019,129155578,133934573,5,40393832
2019,129147078,133945956,11,40399387
2019,129147101,133945979,17,40399390
2019,129147113,133945990,17,40399391
2019,129147115,133945991,18,40399392
2019,129147123,133945999,3,40399393
2019,129147124,133946000,3,40399396
2019,129147123,133946000,25,40399394
2019,129147124,133945999,25,40399395
2019,129147127,133946004,18,40399397
2019,129147129,133946005,16,40399400
2019,129147128,133946006,16,40399399
2019,129147128,133946005,16,40399398
2019,129147129,133946006,16,40399401
2019,129147130,133946007,3,40399402
2019,129146922,133945777,3,40399349
2019,129146935,133945799,5,40399354
2019,129146973,133945844,15,40399360
2019,129146974,133945844,15,40399361
2019,129147020,133945894,7,40399368
2019,129147026,133945898,21,40399372
2019,129147029,133945901,3,40399373
2019,129147032,133945906,16,40399374
2019,129147041,133945916,1,40399376
2019,129147045,133945919,17,40399378
2019,129147044,133945919,22,40399377
2019,129147048,133945922,24,40399381
2019,129147048,133945923,24,40399382
2019,129147047,133945922,24,40399379
2019,129147047,133945923,25,40399380
2019,129147049,133945924,19,40399383
2019,129147058,133940575,1,40399386
2019,129151733,133940388,24,40402087
2019,129151733,133940385,24,40402086
2019,129146921,133945776,16,40399348
2019,129146934,133945798,27,40399353
2019,129146936,133940426,19,40399355
2019,129146690,133945524,24,40399261
2019,129155499,133934492,14,40393807
2019,129146725,133945559,1,40399270
2019,129146740,133945572,24,40399275
2019,129146754,133940217,21,40399281
