"DATA_YEAR","AGENCY_ID","INCIDENT_ID","NIBRS_MONTH_ID","CARGO_THEFT_FLAG","SUBMISSION_DATE","INCIDENT_DATE","REPORT_DATE_FLAG","INCIDENT_HOUR","CLEARED_EXCEPT_ID","CLEARED_EXCEPT_DATE","INCIDENT_STATUS","DATA_HOME","ORIG_FORMAT","DID"
2019,916,120107573,11263774,"",05-FEB-20,25-NOV-19,"",21,6,,0,"C","F",64776460
2019,916,120106823,11263774,"",05-FEB-20,01-NOV-19,"",12,6,,0,"C","F",64755768
2019,916,120106842,11263772,"",05-FEB-20,03-SEP-19,"",8,6,,0,"C","F",64755777
2019,916,120107140,11263772,"",05-FEB-20,15-SEP-19,"",21,6,,0,"C","F",64756097
2019,916,120107009,11263775,"",05-FEB-20,11-DEC-19,"",21,6,,0,"C","F",64755977
2019,916,120112575,11261705,"",05-FEB-20,29-OCT-19,"",17,6,,0,"C","F",64776623
2019,916,120106854,11263774,"",05-FEB-20,02-NOV-19,"",18,6,,0,"C","F",64775623
2019,916,117396459,10591288,"",04-NOV-19,23-JUL-19,"",15,6,,0,"C","F",59370848
2019,916,120106800,11263772,"",05-FEB-20,01-SEP-19,"",16,6,,0,"C","F",64755726
2019,916,120111730,11263772,"",05-FEB-20,02-SEP-19,"",6,6,,0,"C","F",64755736
2019,916,120106852,11263772,"",05-FEB-20,03-SEP-19,"",19,6,,0,"C","F",64775624
2019,916,120107594,11261705,"",05-FEB-20,24-OCT-19,"",2,6,,0,"C","F",64776477
2019,916,120112269,11263772,"",05-FEB-20,21-SEP-19,"",15,6,,0,"C","F",64776250
2019,916,120107416,11263774,"",05-FEB-20,19-NOV-19,"",12,6,,0,"C","F",64756458
2019,916,120107469,11263772,"",05-FEB-20,23-SEP-19,"",12,6,,0,"C","F",64776336
2019,916,120107073,11263772,"",05-FEB-20,14-SEP-19,"",17,6,,0,"C","F",64756048
2019,916,120112011,11261705,"",05-FEB-20,12-OCT-19,"",3,6,,0,"C","F",64775901
2019,916,120112098,11263774,"",05-FEB-20,15-NOV-19,"",12,6,,0,"C","F",64776023
2019,916,120112105,11263775,"",05-FEB-20,19-DEC-19,"",11,6,,0,"C","F",64756215
2019,916,120107232,11263774,"",05-FEB-20,15-NOV-19,"",16,6,,0,"C","F",64756225
2019,916,120107341,11263772,"",05-FEB-20,20-SEP-19,"",18,6,,0,"C","F",64756373
2019,916,120107384,11263775,"",05-FEB-20,28-DEC-19,"",16,6,,0,"C","F",64776247
2019,916,120107002,11261705,"",05-FEB-20,08-OCT-19,"",17,6,,0,"C","F",64755934
2019,916,120112621,11261705,"",05-FEB-20,31-OCT-19,"",22,6,,0,"C","F",64777050
2019,916,120107412,11261705,"",05-FEB-20,19-OCT-19,"",12,6,,0,"C","F",64776274
2019,916,120111920,11263775,"",05-FEB-20,09-DEC-19,"R",,6,,0,"C","F",64775818
2019,916,120107050,11263774,"",05-FEB-20,11-NOV-19,"",12,6,,0,"C","F",64775860
2019,916,120107826,11261705,"",05-FEB-20,30-OCT-19,"",17,6,,0,"C","F",64776966
2019,916,120107843,11261705,"",05-FEB-20,30-OCT-19,"",22,6,,0,"C","F",64776984
2019,916,120107658,11261705,"",05-FEB-20,25-OCT-19,"",15,6,,0,"C","F",64776769
2019,916,120111987,11263772,"",05-FEB-20,12-SEP-19,"",23,6,,0,"C","F",64775874
2019,916,120107139,11261705,"",05-FEB-20,13-OCT-19,"",9,6,,0,"C","F",64756117
2019,916,120107368,11263774,"",05-FEB-20,18-NOV-19,"",14,6,,0,"C","F",64756402
2019,916,120112312,11263774,"",05-FEB-20,19-NOV-19,"",19,6,,0,"C","F",64776297
2019,916,120107300,11261705,"",05-FEB-20,17-OCT-19,"",7,6,,0,"C","F",64776155
2019,916,120107560,11261705,"",05-FEB-20,22-OCT-19,"",21,6,,0,"C","F",64776661
2019,916,120112515,11261705,"",05-FEB-20,25-OCT-19,"",16,6,,0,"C","F",64776545
2019,916,120112614,11261705,"",05-FEB-20,31-OCT-19,"",18,6,,0,"C","F",64777032
2019,916,117906719,10701494,"",19-NOV-19,03-AUG-19,"",21,2,31-AUG-19,0,"C","F",60457351
2019,916,117906721,10701494,"",19-NOV-19,04-AUG-19,"",9,6,,0,"C","F",60462706
2019,916,117906734,10701494,"",19-NOV-19,09-AUG-19,"",8,6,,0,"C","F",60457377
2019,916,117906737,10701494,"",19-NOV-19,10-AUG-19,"",23,6,,0,"C","F",60457383
2019,916,120106802,11261705,"",05-FEB-20,01-OCT-19,"",16,6,,0,"C","F",64775572
2019,916,120106821,11263772,"",05-FEB-20,02-SEP-19,"",21,6,,0,"C","F",64755764
2019,916,120106863,11263775,"",05-FEB-20,03-DEC-19,"",13,6,,0,"C","F",64755812
2019,916,120107430,11263775,"",05-FEB-20,30-DEC-19,"",20,6,,0,"C","F",64776286
