"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
8022019,802,2019,"AZ0010100","AZ0010100","","N","N",,"I","EAGAR","EAGAR PD","Eagar","","A",5,"Arizona","AZ","AZ","8","Mountain","4","West","Region IV","City",4897,23356,"AZUCR0001","Department of Public Safety Compliance & Information Services Bureau UCR Program","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",6,1,7,0,1,1,0,0,01-JUL-04,01-JAN-19,01-JAN-19,,01-MAY-19,01-MAY-19,"N","APACHE","Non-MSA","Y","Y","Y"
8102019,810,2019,"AZ0020700","AZ0020700","","N","N",,"I","HUACHUCA CITY","HUACHUCA CITY PD","Huachuca City","","A",5,"Arizona","AZ","AZ","8","Mountain","4","West","Region IV","City",1723,23356,"AZUCR0001","Department of Public Safety Compliance & Information Services Bureau UCR Program","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",5,0,5,0,2,2,0,0,01-JUL-04,01-JAN-11,01-JAN-11,,01-JAN-19,01-JAN-19,"N","COCHISE","Sierra Vista-Douglas, AZ","Y","Y","Y"
8422019,842,2019,"AZ0071100","AZ0071100","","N","N",,"I","GILBERT","GILBERT PD","Gilbert","","A",5,"Arizona","AZ","AZ","8","Mountain","4","West","Region IV","City",253619,23356,"AZUCR0001","Department of Public Safety Compliance & Information Services Bureau UCR Program","N",5,"1C","Cities from 250,000 thru 499,999","1","All cities 250,000 or over","Y",1,"R","Y",253,33,286,28,95,123,0,0,01-JUL-04,01-NOV-08,01-NOV-08,,01-AUG-17,01-AUG-17,"N","MARICOPA","Phoenix-Mesa-Chandler, AZ","Y","Y","Y"
8882019,888,2019,"AZ0110100","AZ0110100","","N","N",,"I","CASA GRANDE","CASA GRANDE PD","Casa Grande","","A",5,"Arizona","AZ","AZ","8","Mountain","4","West","Region IV","City",58366,23356,"AZUCR0001","Department of Public Safety Compliance & Information Services Bureau UCR Program","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",69,13,82,3,14,17,0,0,01-JUL-04,01-JUL-19,01-JUL-19,,01-JUL-19,01-JUL-19,"N","PINAL","Phoenix-Mesa-Chandler, AZ","Y","Y","Y"
8892019,889,2019,"AZ0110300","AZ0110300","","N","N",,"I","COOLIDGE","COOLIDGE POLICE DEPARTMENT","Coolidge","","A",5,"Arizona","AZ","AZ","8","Mountain","4","West","Region IV","City",13138,23356,"AZUCR0001","Department of Public Safety Compliance & Information Services Bureau UCR Program","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",28,2,30,4,9,13,0,0,01-JUL-04,01-AUG-18,01-AUG-18,,01-JAN-19,01-JAN-19,"N","PINAL","Phoenix-Mesa-Chandler, AZ","Y","Y","Y"
8952019,895,2019,"AZ0111300","AZ0111300","","N","N",,"I","APACHE JUNCTION","APACHE JUNCTION PD","Apache Junction","","A",5,"Arizona","AZ","AZ","8","Mountain","4","West","Region IV","City",42531,23356,"AZUCR0001","Department of Public Safety Compliance & Information Services Bureau UCR Program","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",59,12,71,2,22,24,0,0,01-JUL-04,01-JUL-04,01-JUL-04,,01-AUG-17,01-AUG-17,"N","MARICOPA; PINAL","Phoenix-Mesa-Chandler, AZ","Y","Y","Y"
9122019,912,2019,"AZ0140000","AZ0140000","","N","N",,"I","YUMA","YUMA CO SO YUMA","Yuma","","A",5,"Arizona","AZ","AZ","8","Mountain","4","West","Region IV","County",61429,23356,"AZUCR0001","Department of Public Safety Compliance & Information Services Bureau UCR Program","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",78,148,226,4,101,105,0,0,01-JUL-04,01-JUN-06,01-JUN-06,,01-AUG-17,01-AUG-17,"N","YUMA","Yuma, AZ","Y","Y","Y"
9132019,913,2019,"AZ0140300","AZ0140300","","N","N",,"I","SOMERTON","SOMERTON PD","Somerton","","A",5,"Arizona","AZ","AZ","8","Mountain","4","West","Region IV","City",16771,23356,"AZUCR0001","Department of Public Safety Compliance & Information Services Bureau UCR Program","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",11,0,11,2,7,9,0,0,01-JUL-04,01-JAN-19,01-JAN-19,,01-JAN-20,01-JAN-20,"N","YUMA","Yuma, AZ","Y","Y","Y"
9142019,914,2019,"AZ0140500","AZ0140500","","N","N",,"I","YUMA","YUMA PD","Yuma","","A",5,"Arizona","AZ","AZ","8","Mountain","4","West","Region IV","City",98769,23356,"AZUCR0001","Department of Public Safety Compliance & Information Services Bureau UCR Program","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",134,31,165,19,72,91,0,0,01-JUL-04,01-JAN-12,01-JAN-12,,01-SEP-17,01-SEP-17,"N","YUMA","Yuma, AZ","Y","Y","Y"
9162019,916,2019,"AZ0140800","AZ0140800","","N","N",,"I","SAN LUIS","SAN LUIS POLICE DEPARTMENT","San Luis","","A",5,"Arizona","AZ","AZ","8","Mountain","4","West","Region IV","City",34192,23356,"AZUCR0001","Department of Public Safety Compliance & Information Services Bureau UCR Program","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",37,10,47,2,10,12,0,0,01-JUL-04,01-APR-19,01-APR-19,,01-SEP-19,01-SEP-19,"N","YUMA","Yuma, AZ","Y","Y","Y"
